product_id,product_name,category,price,rating,specifications
1,iPhone 15 Pro,Electronics,142900,4.7,Camera: 50MP Main | Chip: A16 Bionic | Battery: 5000mAh | 5G Supported
2,Sony WH-1000XM5 Headphones,Electronics,28499,4.8,ANC: Best-in-Class Noise Cancellation | Battery: 30 Hours | Driver: 40mm | Conn: Bluetooth 5.3
3,Apple AirPods Pro 2,Electronics,19400,4.7,Quality: Certified | Warranty: 1 Year
4,Red Tape Retro Sneakers,Fashion,3399,4.6,Material: Premium Fabric/Leather | Fit: Regular Fit | Quality: High | Wash: Machine Wash
5,Apple AirPods Pro 2,Electronics,23799,4.4,Quality: Certified | Warranty: 1 Year
6,Savlon Moisturizing Soap,Groceries,0,4.2,Type: Antiseptic Liquid | Volume: 1000ml | Action: Kills 99.9% Germs | Usage: First Aid
7,Amul Taaza Milk,Groceries,100,4.1,Quality: Certified | Warranty: 1 Year
8,Galaxy Watch 6,Electronics,77399,4.5,Camera: 50MP Main | Chip: Snapdragon 8 Gen 2 | Battery: 5000mAh | 5G Supported
9,Savlon Antiseptic Liquid,Groceries,200,4.5,Type: Antiseptic Liquid | Volume: 1000ml | Action: Kills 99.9% Germs | Usage: First Aid
10,Apple AirPods Pro 2,Electronics,19100,4.3,Quality: Certified | Warranty: 1 Year
11,Canon EOS R10 Mirrorless,Electronics,68499,4.8,Sensor: APS-C/Full Frame | Video: 4K | Lens: Kit Lens Included | Conn: WiFi
12,Boat Stone 350 Speaker,Electronics,1700,4.5,Quality: Certified | Warranty: 1 Year
13,Galaxy Z Fold 5,Electronics,134199,4.0,Camera: 50MP Main | Chip: Snapdragon 8 Gen 2 | Battery: 5000mAh | 5G Supported
14,Canon EOS 1500D DSLR,Electronics,36900,4.8,Sensor: APS-C/Full Frame | Video: 4K | Lens: Kit Lens Included | Conn: WiFi
15,Canon Pixma G3000 Printer,Electronics,97699,4.0,Quality: Certified | Warranty: 1 Year
16,iPhone 13,Electronics,50000,4.7,Camera: 50MP Main | Chip: A16 Bionic | Battery: 5000mAh | 5G Supported
17,Woodland Casual Loafers,Fashion,3900,4.2,Material: Premium Fabric/Leather | Fit: Regular Fit | Quality: High | Wash: Machine Wash
18,Red Tape Formal Oxfords,Fashion,3499,4.0,Material: Premium Fabric/Leather | Fit: Regular Fit | Quality: High | Wash: Machine Wash
19,Tata Salt,Groceries,200,4.7,Quality: Certified | Warranty: 1 Year
20,Sony Alpha ZV-E10,Electronics,191999,4.4,Sensor: Full Frame CMOS | Video: 4K 60p | Focus: Real-time Eye AF | Conn: WiFi/NFC
21,Savlon Antiseptic Liquid,Groceries,200,4.4,Type: Antiseptic Liquid | Volume: 1000ml | Action: Kills 99.9% Germs | Usage: First Aid
22,Woodland Casual Loafers,Fashion,4200,4.4,Material: Premium Fabric/Leather | Fit: Regular Fit | Quality: High | Wash: Machine Wash
23,Boro Plus Body Lotion,Groceries,299,4.4,Quality: Certified | Warranty: 1 Year
24,Canon EOS R10 Mirrorless,Electronics,81999,4.6,Sensor: APS-C/Full Frame | Video: 4K | Lens: Kit Lens Included | Conn: WiFi
25,Boat Rockerz 450,Electronics,1200,4.0,Quality: Certified | Warranty: 1 Year
26,Dell G15 Gaming,Electronics,67300,4.2,Processor: Intel i5 12th Gen | 16GB RAM | 512GB SSD | Display: 16-inch 165Hz
27,"Sony Bravia 55"" 4K TV",Electronics,73699,4.4,Quality: Certified | Warranty: 1 Year
28,iPhone 15 Pro,Electronics,139399,4.6,Camera: 50MP Main | Chip: A16 Bionic | Battery: 5000mAh | 5G Supported
29,Lenovo Tab M10,Electronics,67100,4.4,Quality: Certified | Warranty: 1 Year
30,Amul Processed Cheese Block,Groceries,199,4.2,Quality: Certified | Warranty: 1 Year
31,iPhone 14,Electronics,65800,4.8,Camera: 50MP Main | Chip: A16 Bionic | Battery: 5000mAh | 5G Supported
32,iPhone 14,Electronics,61700,4.6,Camera: 50MP Main | Chip: A16 Bionic | Battery: 5000mAh | 5G Supported
33,Woodland Casual Loafers,Fashion,5800,4.7,Material: Premium Fabric/Leather | Fit: Regular Fit | Quality: High | Wash: Machine Wash
34,Dettol Liquid Handwash,Groceries,200,4.4,Type: Antiseptic Liquid | Volume: 500ml | Action: Disinfectant | Usage: Multi-Purpose
35,Asus Zenbook S 13,Electronics,125000,4.6,Processor: Intel i7 13th Gen / M2 Pro | 16GB RAM | 512GB SSD | Display: 15.6-inch FHD
36,Dell XPS 13 Plus,Electronics,166599,4.2,Processor: Intel i7 13th Gen / M2 Pro | 16GB RAM | 512GB SSD | Display: 15.6-inch FHD
37,iPhone 14,Electronics,58700,4.5,Camera: 50MP Main | Chip: A16 Bionic | Battery: 5000mAh | 5G Supported
38,Dell Alienware m15 R7,Electronics,206199,5.0,Processor: Intel i7 13th Gen / M2 Pro | 16GB RAM | 1TB SSD | Display: 15.6-inch FHD
39,Red Tape Formal Oxfords,Fashion,1799,4.0,Material: Premium Fabric/Leather | Fit: Regular Fit | Quality: High | Wash: Machine Wash
40,Canon Pixma G3000 Printer,Electronics,99600,4.2,Quality: Certified | Warranty: 1 Year
41,HP Victus Gaming,Electronics,69900,4.6,Processor: Ryzen 7 5800H | 16GB RAM | 512GB SSD | Display: 16-inch 165Hz
42,Galaxy S23 Ultra,Electronics,104200,4.5,Camera: 200MP Main / 100x Zoom | Chip: Snapdragon 8 Gen 2 | Battery: 5000mAh | 5G Supported
